DATE,GFDEGDQ188S
1966-01-01,39.6870750000000000
1967-01-01,38.7901275000000000
1968-01-01,37.4218975000000000
1969-01-01,35.4147000000000000
1970-01-01,35.1693675000000000
1971-01-01,34.8759125000000000
1972-01-01,33.9430250000000000
1973-01-01,32.3839675000000000
1974-01-01,31.1048700000000000
1975-01-01,32.2311850000000000
1976-01-01,33.4776575000000000
1977-01-01,33.1655550000000000
1978-01-01,32.4254425000000000
1979-01-01,31.1522375000000000
1980-01-01,31.3141800000000000
1981-01-01,30.8851975000000000
1982-01-01,33.4804925000000000
1983-01-01,36.8018525000000000
1984-01-01,38.4406675000000000
1985-01-01,41.7768200000000000
1986-01-01,45.7647975000000000
1987-01-01,48.0750475000000000
1988-01-01,49.2729375000000000
1989-01-01,50.2931600000000000
1990-01-01,53.6262800000000000
1991-01-01,58.7273125000000000
1992-01-01,61.7491875000000000
1993-01-01,63.8878375000000000
1994-01-01,64.2029625000000000
1995-01-01,64.7243825000000000
1996-01-01,64.4982675000000000
1997-01-01,63.1776900000000000
1998-01-01,61.3389325000000000
1999-01-01,58.9969425000000000
2000-01-01,55.6066750000000000
2001-01-01,54.9319175000000000
2002-01-01,56.6071575000000000
2003-01-01,58.7081725000000000
2004-01-01,60.1334325000000000
2005-01-01,60.8206375000000000
2006-01-01,61.4885850000000000
2007-01-01,62.1938350000000000
2008-01-01,67.3976725000000000
2009-01-01,81.1230050000000000
2010-01-01,89.2923125000000000
2011-01-01,94.2856825000000000
2012-01-01,98.7143875000000000
2013-01-01,100.3980525000000000
2014-01-01,101.5651000000000000
2015-01-01,100.5792025000000000
2016-01-01,104.2870900000000000
2017-01-01,102.8871475000000000
2018-01-01,104.0325100000000000
2019-01-01,104.9330800000000000
2020-01-01,124.9307275000000000
